tconst	averageRating	numVotes
tt0082278	3.5	126
tt0082279	5.1	1785
tt0082280	7.9	746
tt0082284	4.0	126
tt0082288	6.7	14828
tt0082291	7.2	53
tt0082294	7.0	370
tt0082299	6.0	100
tt0082300	7.5	523
tt0082307	6.8	19986
tt0082308	4.7	157
tt0082309	6.7	707
tt0082313	6.9	516
tt0082314	7.5	1028
tt0082317	8.2	1129
tt0082318	7.5	449
tt0082319	4.3	193
tt0082320	7.2	603
tt0082323	5.4	115
tt0082329	4.9	7112
tt0082332	5.3	4151
tt0082334	6.7	14644
tt0082337	5.1	183
tt0082338	5.9	3120
tt0082340	7.2	123998
tt0082342	6.6	814
tt0082343	6.2	547
tt0082346	5.7	3283
tt0082348	7.4	56676
tt0082350	5.6	3516
tt0082351	7.1	9478
tt0082352	6.0	2167
tt0082353	6.0	4207
tt0082355	6.0	53
tt0082356	7.7	869
tt0082361	6.6	1209
tt0082362	5.8	1977
tt0082363	3.1	259
tt0082364	6.7	539
tt0082367	4.5	1153
tt0082368	5.2	57
tt0082370	7.3	7083
tt0082371	6.1	121
tt0082374	6.5	194
tt0082377	5.6	18282
tt0082378	4.7	3260
tt0082379	5.2	2569
tt0082381	3.3	219
tt0082382	6.4	1363
tt0082395	4.9	91
tt0082398	6.7	90659
tt0082399	5.1	330
tt0082402	6.7	5590
tt0082404	7.1	1689
tt0082405	6.9	3904
tt0082406	7.3	83576
tt0082407	6.7	1517
tt0082408	7.0	362
tt0082410	2.2	891
tt0082411	5.9	74
tt0082414	5.7	202
tt0082416	7.0	11952
tt0082418	6.1	58349
tt0082420	6.7	58
tt0082421	6.0	54
tt0082422	5.5	925
tt0082423	6.5	332
tt0082424	6.5	149
tt0082425	4.8	1190
tt0082426	6.9	123
tt0082427	5.9	12114
tt0082428	7.0	85
tt0082429	7.1	751
tt0082431	5.1	6680
tt0082432	7.4	36454
tt0082434	6.7	179
tt0082436	7.7	4176
tt0082440	3.1	311
tt0082443	7.3	441
tt0082449	6.3	7535
tt0082457	3.9	718
tt0082466	6.0	328
tt0082467	4.8	3411
tt0082471	5.8	575
tt0082474	7.2	13537
tt0082476	5.6	802
tt0082478	6.7	158
tt0082481	6.4	324
tt0082484	7.3	20500
tt0082485	6.2	134
tt0082486	6.5	1094
tt0082488	3.5	57
tt0082490	5.7	3583
tt0082494	7.3	52
tt0082495	6.5	74120
tt0082497	5.5	5461
tt0082498	6.1	8175
tt0082499	5.9	600
tt0082500	5.7	52
tt0082503	6.3	282
tt0082506	5.8	132
tt0082507	4.2	1304
tt0082509	6.7	31184
tt0082510	6.1	124
tt0082511	5.8	6170
tt0082515	5.3	110
tt0082516	5.8	1004
tt0082517	6.9	45371
tt0082518	5.8	429
tt0082519	2.2	254
tt0082522	3.6	617
tt0082524	5.0	468
tt0082525	5.2	908
tt0082526	6.1	114
tt0082527	5.1	2064
tt0082528	5.8	1646
tt0082530	5.3	87
tt0082532	5.8	129
tt0082533	6.6	30736
tt0082534	6.4	190
tt0082535	5.4	80
tt0082537	4.8	1659
tt0082539	6.5	830
tt0082540	6.1	100
tt0082547	6.7	171
tt0082550	7.5	82
tt0082552	5.9	130
tt0082558	5.5	4345
tt0082562	7.0	3069
tt0082566	3.4	53
tt0082576	7.0	433
tt0082580	4.0	705
tt0082582	6.6	163
tt0082583	5.2	293
tt0082592	6.2	5069
tt0082594	6.8	1316
tt0082596	6.9	524
tt0082597	3.4	57
tt0082598	3.6	65
tt0082599	6.8	277
tt0082601	7.0	606
tt0082602	7.4	875
tt0082610	4.1	89
tt0082611	5.2	305
tt0082612	5.1	548
tt0082614	6.5	77
tt0082619	5.5	324
tt0082620	3.6	252
tt0082622	6.3	4330
tt0082627	7.5	505
tt0082633	7.2	1509
tt0082639	6.8	2395
tt0082640	5.2	2407
tt0082641	7.3	526
tt0082642	4.5	894
tt0082644	7.1	2163
tt0082645	3.2	62
tt0082648	5.1	1856
tt0082655	5.2	172
tt0082656	5.8	513
tt0082661	7.2	3538
tt0082666	7.2	1107
tt0082668	6.7	87
tt0082669	2.9	341
tt0082671	7.5	5185
tt0082673	6.2	74
tt0082676	6.1	97
tt0082677	6.1	4685
tt0082678	6.9	372
tt0082679	7.2	2030
tt0082680	5.9	83
tt0082681	7.0	205
tt0082685	4.9	206
tt0082687	6.0	69
tt0082689	6.6	131
tt0082690	5.4	392
tt0082694	7.6	164586
tt0082696	5.3	5030
tt0082699	6.6	784
tt0082700	5.2	8965
tt0082701	6.7	690
tt0082704	7.4	271
tt0082710	6.9	64
tt0082714	7.8	3043
tt0082716	5.1	52
tt0082726	5.8	918
tt0082728	7.6	193
tt0082729	7.7	1158
tt0082731	6.8	751
tt0082733	5.4	259
tt0082736	7.8	9333
tt0082742	5.0	125
tt0082744	4.8	811
tt0082747	4.9	208
tt0082748	6.2	8458
tt0082749	7.1	705
tt0082752	7.2	202
tt0082755	8.2	5260
tt0082760	6.7	61
tt0082761	7.0	364
tt0082762	5.4	108
tt0082763	5.1	4804
tt0082764	7.0	3281
tt0082766	6.7	14149
tt0082769	3.8	743
tt0082770	6.6	1855
tt0082776	6.8	8527
tt0082777	5.3	67
tt0082782	6.3	17671
tt0082783	7.8	17976
tt0082788	7.0	58
tt0082791	5.9	60
tt0082796	7.4	914
tt0082797	7.1	1491
tt0082799	3.0	919
tt0082800	6.2	77
tt0082801	5.6	7345
tt0082804	4.8	1113
tt0082810	6.5	1255
tt0082812	5.6	2297
tt0082813	6.4	2136
tt0082815	2.6	552
tt0082816	6.0	862
tt0082817	6.4	17288
tt0082818	5.7	3369
tt0082822	4.9	168
tt0082830	6.6	231
tt0082833	4.6	55
tt0082835	6.6	2876
tt0082841	5.1	522
tt0082842	6.9	1427
tt0082843	6.8	1293
tt0082846	7.6	27227
tt0082848	4.6	51
tt0082849	5.5	402
tt0082850	5.8	58
tt0082853	6.4	1235
tt0082854	6.0	156
tt0082865	6.9	61
tt0082869	6.6	26802
tt0082876	6.8	246
tt0082883	7.2	786
tt0082886	4.8	895
tt0082888	7.1	615
tt0082889	6.0	71
tt0082892	7.0	784
tt0082893	6.8	909
tt0082894	6.5	5142
tt0082898	6.7	74
tt0082904	5.0	404
tt0082905	4.7	152
tt0082910	3.7	7649
tt0082911	5.2	925
tt0082912	8.0	6634
tt0082914	3.9	272
tt0082917	6.5	109
tt0082919	7.8	422
tt0082923	4.9	198
tt0082926	7.1	7028
tt0082927	7.0	951
tt0082931	6.6	68
tt0082933	7.4	24559
tt0082934	6.6	21364
tt0082935	6.5	1544
tt0082936	5.8	74
tt0082937	7.1	185
tt0082940	6.3	279
tt0082945	7.5	7136
tt0082948	5.2	3277
tt0082949	7.6	12851
tt0082950	6.6	99
tt0082951	6.1	9368
tt0082954	6.5	64
tt0082956	5.9	1172
tt0082958	5.6	1029
tt0082962	4.6	235
tt0082963	5.7	84
tt0082964	6.4	1186
tt0082965	6.9	64
tt0082966	6.2	12466
tt0082967	4.4	56
tt0082968	5.7	822
tt0082969	6.8	1384
tt0082970	7.3	8675
tt0082971	8.4	872060
tt0082973	6.7	2057
tt0082979	7.3	20569
tt0082982	7.6	54
tt0082983	5.3	139
tt0082984	4.8	185
tt0082986	6.9	123
tt0082988	7.0	130
tt0082992	5.9	1521
tt0082997	7.1	264
tt0082998	7.7	488
tt0083000	6.6	5099
tt0083001	6.2	3133
tt0083002	5.7	132
tt0083004	7.5	1217
tt0083005	3.7	143
tt0083006	5.4	1070
tt0083012	5.7	221
tt0083013	4.9	87
tt0083015	6.4	5361
tt0083016	5.3	508
tt0083019	4.8	952
tt0083021	6.3	400
tt0083022	7.3	478
tt0083024	5.7	760
tt0083025	6.0	54
tt0083027	7.2	93
tt0083028	7.3	397
tt0083029	7.4	71
tt0083031	3.3	387
tt0083033	4.7	3511
tt0083034	5.9	455
tt0083046	4.4	58
tt0083052	4.5	168
tt0083053	7.0	1334
tt0083058	4.9	117
tt0083059	6.8	98
tt0083061	6.4	149
tt0083062	7.1	805
tt0083064	6.4	5361
tt0083067	5.8	4477
tt0083072	6.3	94
tt0083079	6.3	217
tt0083081	7.3	2495
tt0083082	7.4	258
tt0083083	5.7	70
tt0083089	7.7	5612
tt0083096	6.9	870
tt0083097	3.2	248
tt0083099	5.1	1000
tt0083102	6.9	1011
tt0083103	6.1	134
tt0083105	7.0	237
tt0083107	5.8	1376
tt0083109	6.5	7452
tt0083110	4.9	1295
tt0083111	7.2	16201
tt0083113	5.2	1173
tt0083117	6.2	486
tt0083124	6.8	192
tt0083131	6.9	64476
tt0083133	5.6	4309
tt0083138	5.9	105
tt0083144	5.2	987
tt0083146	5.2	1446
tt0083147	7.4	77
tt0083149	6.1	70
tt0083151	6.5	386
tt0083153	7.1	150
tt0083156	5.3	1953
tt0083157	5.0	129
tt0083160	6.4	201
tt0083161	4.5	101
tt0083162	7.4	1127
tt0083163	5.0	727
tt0083169	6.8	16401
tt0083170	3.4	5135
tt0083178	5.2	690
tt0083179	5.8	65
tt0083183	6.5	199
tt0083186	4.5	159
tt0083188	7.1	95
tt0083189	6.4	2229
tt0083190	7.4	24684
tt0083193	7.5	1154
tt0083197	6.1	415
tt0083201	6.9	723
tt0083203	7.8	906
tt0083205	5.3	139
tt0083215	3.7	561
tt0083217	5.1	116
tt0083219	6.2	677
tt0083226	7.2	1385
tt0083230	5.7	510
tt0083232	6.3	7120
tt0083238	5.8	845
tt0083242	5.9	174
tt0083245	4.7	72
tt0083246	4.9	136
tt0083247	6.7	66
tt0083248	7.8	952
tt0083249	6.1	98
tt0083250	6.0	88
tt0083254	5.5	2533
tt0083255	6.5	150
tt0083257	6.8	462
tt0083258	7.5	722
tt0083260	7.4	2380
tt0083263	6.0	108
tt0083264	5.8	464
tt0083266	5.0	61
tt0083267	6.4	293
tt0083268	5.6	729
tt0083271	7.9	3843
tt0083274	7.1	114
tt0083275	8.1	2299
tt0083276	6.3	3339
tt0083281	7.1	3018
tt0083284	6.7	27239
tt0083287	6.3	1224
tt0083291	5.3	670
tt0083296	5.7	3664
tt0083299	7.4	67
tt0083300	6.3	529
tt0083308	6.7	70
tt0083310	4.9	925
tt0083312	4.1	432
tt0083320	6.4	52
tt0083324	5.7	117
tt0083326	7.3	2594
tt0083327	7.3	165
tt0083329	7.0	94
tt0083331	6.3	286
tt0083335	7.0	499
tt0083336	6.3	8996
tt0083339	5.9	61
tt0083343	7.1	422
tt0083347	6.4	204
tt0083348	5.7	545
tt0083349	7.1	1593
tt0083352	7.4	652
tt0083356	5.3	172
tt0083361	4.0	232
tt0083365	6.8	1055
tt0083366	6.3	3988
tt0083367	6.7	121
tt0083373	5.3	82
tt0083375	5.3	302
tt0083381	6.8	75
tt0083449	6.2	2045
tt0083506	3.2	364
tt0083507	6.3	91
tt0083509	4.1	106
tt0083511	6.9	68151
tt0083512	6.9	56
tt0083517	6.1	110
tt0083519	6.5	335
tt0083520	4.3	243
tt0083521	5.6	59
tt0083524	5.8	94
tt0083526	4.3	602
tt0083528	5.4	74
tt0083530	6.2	48458
tt0083537	5.5	116
tt0083541	5.4	356
tt0083542	6.1	4545
tt0083543	6.5	251
tt0083547	4.9	127
tt0083548	5.0	83
tt0083549	7.7	2745
tt0083550	5.5	10113
tt0083552	5.9	896
tt0083555	7.2	112
tt0083557	5.8	2239
tt0083558	7.0	58
tt0083559	7.4	432
tt0083560	6.4	753
tt0083563	5.4	66
tt0083564	6.6	39343
tt0083565	4.6	600
tt0083567	5.7	312
tt0083571	7.1	321
tt0083572	4.4	317
tt0083575	7.5	75
tt0083577	6.8	417
tt0083578	7.9	1242
tt0083579	7.4	1012
tt0083580	6.7	3010
tt0083581	5.5	57
tt0083582	6.1	51
tt0083583	5.0	105
tt0083584	6.2	135
tt0083585	4.4	384
tt0083590	7.6	3873
tt0083591	5.6	2153
tt0083592	6.9	138
tt0083594	6.6	137
tt0083598	6.2	4942
tt0083605	6.0	101
tt0083608	4.8	58
tt0083609	6.1	509
tt0083611	6.6	1070
tt0083612	6.3	138
tt0083618	5.9	1472
tt0083619	6.4	1425
tt0083624	6.2	16019
tt0083625	6.3	915
tt0083628	5.0	1369
tt0083629	5.6	3453
tt0083630	6.2	20244
tt0083632	4.9	76
tt0083633	6.4	105
tt0083634	5.4	514
tt0083636	7.1	358
tt0083637	6.2	58
tt0083640	6.3	54
tt0083641	5.5	2556
tt0083642	6.0	9694
tt0083643	4.4	70
tt0083647	5.8	109
tt0083648	4.8	184
tt0083650	4.0	70
tt0083652	8.2	3407
tt0083653	6.0	52
tt0083655	6.1	1658
tt0083657	8.0	116
tt0083658	8.1	683867
tt0083659	5.5	355
tt0083660	4.9	436
tt0083661	3.9	1172
tt0083670	3.9	631
tt0083673	5.6	409
tt0083675	6.4	3658
tt0083676	5.7	413
tt0083678	6.4	5856
tt0083680	6.9	1795
tt0083684	5.3	63
tt0083686	6.2	4053
tt0083690	4.7	402
tt0083693	6.4	1353
tt0083694	6.3	2374
tt0083697	5.8	62
tt0083699	6.6	298
tt0083700	4.3	125
tt0083701	7.1	1736
tt0083702	7.9	6350
tt0083703	7.6	409
tt0083710	3.6	426
tt0083713	6.8	115
tt0083715	5.8	1603
tt0083716	7.3	69
tt0083717	6.7	3355
tt0083719	4.7	61
tt0083722	6.2	19064
tt0083725	5.8	146
tt0083726	6.4	1903
tt0083728	7.1	1031
tt0083731	3.3	187
tt0083732	7.0	181
tt0083734	5.8	776
tt0083735	6.2	98
tt0083736	5.5	103
tt0083739	6.6	9521
tt0083740	6.1	85
tt0083741	5.8	138
tt0083743	7.2	931
tt0083744	7.1	209
tt0083745	7.2	4032
tt0083755	4.6	525
tt0083756	7.3	315
tt0083762	6.7	492
tt0083765	7.0	272
tt0083767	6.9	41820
tt0083770	4.0	211
tt0083771	5.7	51
tt0083774	7.3	666
tt0083783	6.9	195
tt0083789	7.5	6323
tt0083790	7.0	62
tt0083791	7.2	61417
tt0083792	5.5	58
tt0083793	3.4	162
tt0083798	6.9	20186
tt0083801	4.9	1101
tt0083803	3.7	228
tt0083804	4.4	216
tt0083805	5.5	1368
tt0083806	7.0	11817
tt0083811	4.9	65
tt0083812	6.2	244
tt0083813	6.5	216
tt0083820	6.0	512
tt0083824	5.9	1468
tt0083828	6.7	175
tt0083831	3.3	63
tt0083833	7.1	18367
tt0083840	6.8	107
tt0083843	7.0	206
tt0083851	7.3	9035
tt0083853	5.9	303
tt0083859	6.3	127
tt0083860	6.8	103
tt0083863	6.1	233
tt0083865	8.0	938
tt0083866	7.8	366257
tt0083868	6.6	73
tt0083869	6.8	6882
tt0083870	6.7	226
tt0083871	6.5	1197
tt0083872	7.2	749
tt0083884	6.5	59
tt0083885	5.9	888
tt0083888	7.6	2832
tt0083891	6.0	1225
tt0083894	6.6	180
tt0083896	7.3	68
tt0083900	6.2	614
tt0083903	5.6	59
tt0083906	6.0	2925
tt0083907	7.5	185009
tt0083908	7.1	14080
tt0083911	6.9	222
tt0083912	7.0	76
tt0083914	4.7	174
tt0083916	6.0	111
tt0083922	8.1	56722
tt0083925	7.2	996
tt0083926	5.6	101
tt0083929	7.2	93049
tt0083930	6.5	596
tt0083931	7.9	1331
tt0083934	5.0	210
tt0083936	6.1	444
tt0083938	6.2	102
tt0083941	6.3	2798
tt0083942	6.6	239
tt0083943	6.0	24835
tt0083944	7.7	223227
tt0083946	8.1	30930
tt0083947	6.1	949
tt0083949	6.1	516
tt0083950	4.6	92
tt0083959	5.2	4252
tt0083960	5.7	2718
tt0083962	5.5	174
tt0083965	5.0	226
tt0083967	7.4	6921
tt0083971	6.9	75
tt0083972	5.7	46918
tt0083973	4.6	1168
tt0083978	4.6	95
tt0083984	7.0	71
tt0083987	8.0	216109
tt0083996	6.2	6748
tt0083998	5.6	134
tt0083999	4.2	232
tt0084001	4.7	126
tt0084002	7.3	79
tt0084003	6.3	122
tt0084006	5.8	69
tt0084010	4.2	190
tt0084011	7.3	118
tt0084012	6.2	199
tt0084014	6.3	74
tt0084016	3.8	70
tt0084018	5.9	1054
tt0084019	5.5	116
tt0084021	4.4	32441
tt0084028	5.4	2438
tt0084033	5.1	149
tt0084034	5.3	546
tt0084036	4.7	804
tt0084037	8.0	72
tt0084040	6.4	93
tt0084042	7.3	943
tt0084044	7.2	495
tt0084045	7.3	533
tt0084049	5.7	2341
tt0084052	6.3	361
tt0084056	5.2	69
tt0084058	6.6	1544
tt0084059	6.4	336
tt0084060	6.4	247
tt0084061	5.1	88
tt0084070	6.3	823
tt0084071	6.5	119
tt0084074	4.9	79
tt0084078	5.4	82
tt0084083	6.3	119
tt0084084	3.3	326
tt0084085	6.9	842
tt0084088	6.6	7911
tt0084089	6.5	219
tt0084090	3.9	2916
tt0084091	6.8	274
tt0084096	4.5	1038
tt0084099	6.0	621
tt0084104	5.1	296
tt0084105	7.3	520
tt0084109	6.2	878
tt0084111	6.3	453
tt0084112	6.0	1423
tt0084115	7.7	453
tt0084116	6.7	2592
tt0084117	6.8	762
tt0084121	2.7	241
tt0084123	6.4	117
tt0084131	6.4	1071
tt0084132	2.6	648
tt0084133	5.5	2095
tt0084134	5.3	75
tt0084135	5.9	63
tt0084136	7.0	704
tt0084139	4.7	118
tt0084141	7.2	263
tt0084149	6.3	126
tt0084150	6.8	371
tt0084151	6.9	350
tt0084153	7.2	244
tt0084156	5.8	845
tt0084158	6.5	343
tt0084171	6.3	1093
tt0084173	4.7	947
tt0084176	6.2	78
tt0084178	6.3	68
tt0084181	4.9	88
tt0084182	6.0	484
tt0084184	5.5	651
tt0084189	6.1	3154
tt0084191	5.8	634
tt0084194	5.6	141
tt0084198	7.2	165
tt0084199	6.9	345
tt0084203	5.4	149
tt0084204	7.2	281
tt0084210	6.1	1882
tt0084211	4.5	53
tt0084217	5.4	98
tt0084222	6.1	158
tt0084223	6.6	135
tt0084225	5.8	154
tt0084226	6.0	126
tt0084228	6.2	3771
tt0084234	6.3	7745
tt0084237	7.5	24058
tt0084241	4.7	118
tt0084242	6.6	632
tt0084247	5.5	66
tt0084248	6.7	303
tt0084255	6.3	102
tt0084256	5.9	234
tt0084259	5.0	482
tt0084261	5.5	70
tt0084264	6.8	325
tt0084266	6.5	3381
tt0084267	7.3	1692
tt0084268	5.2	655
tt0084269	6.6	499
tt0084273	5.8	241
tt0084274	4.5	189
tt0084280	7.0	137
tt0084281	5.4	158
tt0084286	5.1	87
tt0084290	5.0	52
tt0084293	6.8	2398
tt0084294	6.8	60
tt0084296	7.3	7893
tt0084298	4.9	2313
tt0084299	6.3	62
tt0084302	9.0	14210
tt0084304	8.4	716
tt0084310	6.7	166
tt0084311	7.3	69
tt0084313	7.6	125
tt0084315	7.4	4998
tt0084316	3.8	3278
tt0084318	6.9	230
tt0084324	7.3	1120
tt0084329	6.6	18258
tt0084333	6.8	119
tt0084335	7.7	18286
tt0084338	6.6	169
tt0084340	7.3	811
tt0084342	6.8	137
tt0084345	7.7	2014
tt0084346	7.1	757
tt0084348	4.4	133
tt0084350	6.3	222
tt0084351	5.1	820
tt0084352	7.9	13131
tt0084354	7.5	2577
tt0084356	5.4	56
tt0084357	5.8	1902
tt0084358	7.1	2252
tt0084359	6.0	1175
tt0084361	7.2	214
tt0084363	7.4	197
tt0084365	4.5	126
tt0084370	7.4	8541
tt0084383	6.5	340
tt0084385	7.3	2308
tt0084387	4.5	414
tt0084388	7.3	440
tt0084390	7.9	7147
tt0084392	7.0	81
tt0084393	5.5	347
tt0084395	4.8	1916
tt0084408	6.3	1974
tt0084411	7.1	86
tt0084412	6.6	13843
tt0084416	6.6	301
tt0084417	6.6	54
tt0084419	5.5	91
tt0084422	7.4	3782
tt0084423	7.3	1998
tt0084424	4.6	2371
tt0084425	4.9	94
tt0084431	5.0	211
tt0084432	6.2	201
tt0084434	7.0	48736
tt0084445	6.5	5325
tt0084449	3.8	242
tt0084451	7.3	237
tt0084455	2.6	293
tt0084458	6.8	346
tt0084460	5.4	173
tt0084462	3.7	120
tt0084464	5.3	1018
tt0084465	7.2	976
tt0084467	6.0	409
tt0084468	6.7	348
tt0084469	5.0	2370
tt0084470	6.2	88
tt0084471	6.1	101
tt0084472	3.9	2193
tt0084476	7.4	246
tt0084477	5.3	1155
tt0084479	6.7	902
tt0084481	6.2	2270
tt0084485	4.1	520
tt0084489	6.3	2452
tt0084490	5.8	58
tt0084492	7.1	72
tt0084495	5.1	237
tt0084503	8.1	75248
tt0084504	5.3	3987
tt0084506	5.6	460
tt0084509	7.8	6879
tt0084512	7.2	440
tt0084514	7.0	115
tt0084516	7.3	142195
tt0084518	7.6	939
tt0084519	7.0	83
tt0084522	6.2	37555
tt0084526	6.0	712
tt0084529	7.3	413
tt0084532	7.2	858
tt0084533	4.1	240
tt0084538	4.7	803
tt0084539	6.3	91
tt0084540	6.7	900
tt0084548	8.0	2944
tt0084549	7.9	8392
tt0084553	7.1	140
tt0084555	7.6	8369
tt0084556	6.0	6869
tt0084557	7.0	388
tt0084561	7.5	81
tt0084562	5.7	284
tt0084564	7.2	260
tt0084565	6.8	5736
tt0084573	5.4	1494
tt0084575	7.3	79
tt0084579	5.1	246
tt0084586	6.6	673
tt0084587	6.3	342
tt0084589	7.4	3999
tt0084590	6.8	438
tt0084591	6.7	953
tt0084592	3.3	391
tt0084594	5.4	70
